adaptiveScheduler,46.85,52.0,0.1941747572815534
FCFS,128.44,133.72,0.1893939393939394
adaptiveScheduler,173.26,178.54,0.18867924528301888
FCFS,128.44,133.72,0.1893939393939394
adaptiveScheduler,173.26,178.54,0.18867924528301888
FCFS,128.44,133.72,0.1893939393939394
adaptiveScheduler,173.26,178.54,0.18867924528301888
FCFS,128.44,133.72,0.1893939393939394
adaptiveScheduler,173.26,178.54,0.18867924528301888
FCFS,128.44,133.72,0.1893939393939394
adaptiveScheduler,173.26,178.54,0.18867924528301888
FCFS,128.44,133.72,0.1893939393939394
SJF,173.26,178.54,0.18867924528301888
FCFS,128.44,133.72,0.1893939393939394
SJF,173.26,178.54,0.18867924528301888
FCFS,128.44,133.72,0.1893939393939394
SJF,173.26,178.54,0.18867924528301888
FCFS,128.44,133.72,0.1893939393939394
SJF,173.26,178.54,0.18867924528301888
FCFS,128.44,133.72,0.1893939393939394
SJF,173.26,178.54,0.18867924528301888
